ID_Key,District_Name,Population,Area(ha),GreenArea(Percent)
1,Bemowo,120449,2495,21.14
2,Białołęka,116127,7304,43.22
3,Bielany,131957,3234,28.54
4,Mokotów,217815,3542,25.89
5,Ochota,83592,972,12.97
6,Praga-Południe,178447,2238,15.37
7,Praga-Północ,65904,1142,9.44
8,Rembertów,24105,1930,33.35
9,Śródmieście,118301,1557,9.64
10,Targówek,123535,2422,20.90
11,Ursus,58233,936,13.07
12,Ursynów,149843,4379,33.47
13,Wawer,74932,7970,20.05
14,Wesoła,24811,2294,37.72
15,Wilanów,35170,3673,38.30
16,Włochy,41423,2863,14.87
17,Wola,138508,1926,15.29
18,Żoliborz,50805,847,16.77

